Nome,Instagram_Handle,Instagram_URL,CNPJ,CNPJ_Formatado,Instagram_Sucesso,CNPJ_Sucesso
By Gabriela Duarte,bygabrieladuarte,https://instagram.com/bygabrieladuarte,41769039000155,41.769.039/0001-55,SIM,SIM
Look Exclusive Moda Feminina,lookexclusive,https://instagram.com/lookexclusive,30903800000183,30.903.800/0001-83,SIM,SIM
Belish Moda Mulher,belishmodamulher,https://instagram.com/belishmodamulher,37686612000190,37.686.612/0001-90,SIM,SIM
Vitória Fashion,vitoriafashionx1,https://instagram.com/vitoriafashionx1,59889068000116,59.889.068/0001-16,SIM,SIM
Lojas Mania Arapongas,maniaarapongas,https://instagram.com/maniaarapongas,,NÃO ENCONTRADO,SIM,NÃO
Jolly Loja de Roupas,jollyarapongas,https://instagram.com/jollyarapongas,04745311000130,04.745.311/0001-30,SIM,SIM
Le Belle store,lebellestore25,https://instagram.com/lebellestore25,25013484000134,25.013.484/0001-34,SIM,SIM
Planner Arapongas,plannerarapongas,https://instagram.com/plannerarapongas,29551720000127,29.551.720/0001-27,SIM,SIM
Di Mazzo,dimazzooficial,https://instagram.com/dimazzooficial,04309163000101,04.309.163/0001-01,SIM,SIM
Santorini,Santorini,https://instagram.com/Santorini,44105983000104,44.105.983/0001-04,SIM,SIM
Loja Julia Store,juliastoremoda,https://instagram.com/juliastoremoda,25040498000147,25.040.498/0001-47,SIM,SIM
Lojas Amo Arapongas,lojasamoarapongas,https://instagram.com/lojasamoarapongas,06133418000668,06.133.418/0006-68,SIM,SIM
